market_id,market,countryiso3,admin1,admin2,latitude,longitude
#loc+market+code,#loc+market+name,#country+code,#adm1+name,#adm2+name,#geo+lat,#geo+lon
80,Arusha (urban),TZA,Arusha,Arusha Urban,-3.37,36.68
81,Babati,TZA,Manyara,Babati Urban,-4.22,35.75
82,Bukoba,TZA,Kagera,Bukoba Urban,-1.33,31.81
83,Dar Es Salaam,TZA,Dar-es-salaam,Ilala,-6.8,39.28
84,Dodoma (Majengo),TZA,Dodoma,Mpwapwa,-7.29,36.34
85,Iringa Urban,TZA,Iringa,Iringa Urban,-7.77,35.7
86,Kigoma,TZA,Kigoma,Kigoma Municipal-Ujiji,-4.88,29.63
87,Lindi,TZA,Lindi,Lindi Urban,-10,39.72
88,Mwanjelwa,TZA,Mbeya,Mbeya Urban,-8.9,33.45
89,Morogoro,TZA,Morogoro,Morogoro Urban,-6.82,37.67
90,Moshi,TZA,Kilimanjaro,Moshi Municipal,-3.35,37.33
91,Mtwara DC,TZA,Mtwara,Mtwara Urban,-10.27,40.18
92,Mwanza,TZA,Mwanza,Nyamagana,-2.52,32.9
93,Shinyanga,TZA,Shinyanga,Shinyanga Urban,-3.67,33.43
94,Singida,TZA,Singida,Singida Urban,-4.82,34.75
95,Songea,TZA,Ruvuma,Songea Urban,-10.68,35.65
96,Tabora,TZA,Tabora,Tabora Urban,-5.02,32.8
97,Tanga / Mgandini,TZA,Tanga,Tanga,-5.07,39.1
99,Musoma,TZA,Mara,Musoma Municipal,-1.5,33.8
100,Sumbawanga,TZA,Rukwa,Sumbawanga Urban,-7.97,31.62
101,National Average,SWZ,,,,
102,Cayes,HTI,South,Les Cayes,18.2,-73.75
103,Gonaives,HTI,Artibonite,Gonaives,19.45,-72.68
104,Hinche,HTI,Centre,Hinche,19.15,-72.02
105,Jacmel,HTI,South-East,Jacmel,18.23,-72.53
106,Jeremie,HTI,Grande'Anse,Jeremie,18.62,-74.08
107,Cap-Haitien,HTI,North,Cap-Haitien,19.76,-72.2
108,Ouanaminthe,HTI,North-East,Ouanaminthe,19.55,-71.73
109,Port-au-Prince,HTI,West,Port-au-Prince,18.54,-72.33
110,Port-de-Paix,HTI,North-West,Port-de-Paix,19.94,-72.83
112,Barisal Division,BGD,Barisal,Barisal,22.7,90.37
114,Chittagong Division,BGD,Chittagong,Chittagong,22.33,91.84
116,Dhaka Division,BGD,Dhaka,Dhaka,23.72,90.41
118,Khulna Division,BGD,Khulna,Khulna,22.82,89.56
120,Rajshahi Division,BGD,Rajshahi,Rajshahi,24.37,88.6
122,Sylhet Division,BGD,Sylhet,Sylhet,24.9,91.87
124,Dantokpa,BEN,Littoral,Cotonou,6.37,2.43
125,Bouake,CIV,Vallee Du Bandama,GbÃªke,7.68,-5.03
126,Katiola,CIV,Vallee Du Bandama,Hambol,8.13,-5.1
127,Man,CIV,Montagnes,Tonkpi,7.41,-7.55
128,Odienne,CIV,Denguele,Kabadougou,9.51,-7.57
129,Banfora,BFA,CASCADES,COMOÃ‰,10.63,-4.77
130,Bousse,BFA,PLATEAU-CENTRAL,KOURWÃ‰OGO,12.66,-1.89
131,Diebougou,BFA,SUD-OUEST,BOUGOURIBA,10.97,-3.25
132,Djibo,BFA,SAHEL,SOUM,14.1,-1.63
133,Dori,BFA,SAHEL,SÃ‰NO,14.03,-0.03
134,Fada N'Gourma,BFA,EST,GOURMA,12.06,0.36
135,Gorom Gorom,BFA,SAHEL,OUDALAN,14.44,-0.24
136,Gourcy,BFA,NORD,ZONDOMA,13.21,-2.36
137,Kongoussi,BFA,CENTRE-NORD,BAM,13.33,-1.53
138,Koudougou,BFA,CENTRE-OUEST,BOULKIEMDÃ‰,12.25,-2.37
139,Ouagadougo (Sankaryare),BFA,CENTRE,KADIOGO,12.36,-1.53
140,Tenkodogo,BFA,CENTRE-EST,BOULGOU,11.78,-0.37
141,Tougan,BFA,BOUCLE DU MOUHOUN,SOUROU,13.07,-3.07
143,Kalemie,COD,Tanganyika,Kalemie,-5.92,29.19
144,Kinshasa,COD,Kinshasa,Kinshasa,-4.3,15.3
145,Lubumbashi,COD,Haut-Katanga,Lubumbashi,-11.67,27.47
146,Mbandaka,COD,Equateur,Bomongo,0.07,18.27
147,Uvira,COD,Sud-Kivu,Uvira city,-3.41,29.14
